
---------------> PROGRAM SIG_BCZ <---------------


  Reading the parameters from file: sig_bcz_input
  Input parameters are:

    XINIT = 2.0000E-08
    AMP0 = 0.050    TAU0 =   2700.00    PHI0 = 0.500
    IPRINT = 4    ERRORS = n

  
  name of input file (l,n,v) -->   
   Reading frequencies from File: /home/joao/Documents/FCUP/TESE/bcz_fit/mesa_bestA.freq                          
       Range in frequencies: 1494.6894 - 2787.6930
       Reference frequency : 2100.0000
       Points read:  36
  
   Smoothing parameter = 0.20D-07

   File RES   [Model,C1,C2,...] (all final values)
   File COF   [C1,C2,...] (each iteration)
   File SIG   [v, v-smooth, l, n, sigma, fit] 
 481 ->      0.05     0.00007306     0.00011770    
 482 ->      0.05     0.00007162     0.00011767    
 483 ->      0.05     0.00007023     0.00011765    
 484 ->      0.05     0.00006878     0.00011762    
 485 ->      0.05     0.00006740     0.00011759    
 486 ->      0.05     0.00006606     0.00011757    
 487 ->      0.05     0.00006475     0.00011755    
 488 ->      0.05     0.00006348     0.00011752    
 489 ->      0.05     0.00006218     0.00011750    
 490 ->      0.05     0.00006094     0.00011747    
 491 ->      0.05     0.00005973     0.00011745    
 492 ->      0.05     0.00005851     0.00011743    
 493 ->      0.05     0.00005732     0.00011741    
 494 ->      0.05     0.00005618     0.00011739    
 495 ->      0.05     0.00005507     0.00011737    
 496 ->      0.05     0.00005401     0.00011735    
 497 ->      0.05     0.00005291     0.00011733    
 498 ->      0.05     0.00005182     0.00011731    
 499 ->      0.05     0.00005083     0.00011729    
 500 ->      0.05     0.00004978     0.00011727    
 501 ->      0.05     0.00004880     0.00011725    
 502 ->      0.05     0.00004783     0.00011723    
 503 ->      0.05     0.00004688     0.00011721    
 504 ->      0.05     0.00004594     0.00011720    
 505 ->      0.05     0.00004503     0.00011718    
 506 ->      0.05     0.00004413     0.00011716    
 507 ->      0.05     0.00004321     0.00011715    
 508 ->      0.05     0.00004238     0.00011713    
 509 ->      0.05     0.00004151     0.00011712    
 510 ->      0.05     0.00004068     0.00011710    
 511 ->      0.05     0.00003984     0.00011709    
 512 ->      0.05     0.00003906     0.00011707    
 513 ->      0.05     0.00003827     0.00011706    
 514 ->      0.05     0.00003752     0.00011704    
 515 ->      0.05     0.00003678     0.00011703    
 516 ->      0.05     0.00003607     0.00011701    
 517 ->      0.05     0.00003530     0.00011700    
 518 ->      0.05     0.00003459     0.00011699    
 519 ->      0.05     0.00003391     0.00011698    
 520 ->      0.05     0.00003321     0.00011696    
 521 ->      0.05     0.00003257     0.00011695    
 522 ->      0.05     0.00003194     0.00011694    
 523 ->      0.05     0.00003130     0.00011693    
 524 ->      0.05     0.00003065     0.00011692    
 525 ->      0.05     0.00003005     0.00011690    
 526 ->      0.05     0.00002946     0.00011689    
 527 ->      0.05     0.00002882     0.00011688    
 528 ->      0.05     0.00002831     0.00011687    
 529 ->      0.05     0.00002776     0.00011686    
 530 ->      0.05     0.00002718     0.00011685    
 531 ->      0.05     0.00002657     0.00011684    
 532 ->      0.05     0.00002606     0.00011683    
 533 ->      0.05     0.00002554     0.00011682    
 534 ->      0.05     0.00002504     0.00011681    
 535 ->      0.05     0.00002455     0.00011680    
 536 ->      0.05     0.00002406     0.00011679    
 537 ->      0.05     0.00002361     0.00011679    
